what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1373948098287
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAll",1373948100182
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1373948100908
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1373948112065
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1373948113659
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1373948116920
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1373948120310
opened,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1373948120484
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1373948120602
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1373948120981
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1373948126577
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1373948130274
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAll",1373948132128
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1373948134465
opened,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1373948134810
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1373948134953
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1373948137769
started,bundle,org.eclipse.jst.server.generic.core,1.0.606.v20100512,"org.eclipse.jst.server.generic.core",1373948137947
started,bundle,org.eclipse.jst.server.preview.adapter,1.1.100.v20100308,"org.eclipse.jst.server.preview.adapter",1373948137962
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1373948140095
started,bundle,org.eclipse.jst.server.tomcat.ui,1.1.200.v20100418,"org.eclipse.jst.server.tomcat.ui",1373948140404
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1373948140436
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1373948140779
started,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1373948141416
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1373948143120
started,bundle,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser",1373948146782
opened,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1373948148020
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1373948148084
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1373948148120
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1373948182043
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1373949518365
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1373949520578
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1373949557667
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1373949559947
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1373949562853
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1373949610878
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1373949615251
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1373949633426
opened,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1373949633657
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1373949633769
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1373949635480
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1373949639421
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1373949645760
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1373949651292
