what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1373943652172
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1373943666509
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1373943668952
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1373943670000
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1373943670692
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1373943674796
started,bundle,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser",1373943685715
opened,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1373943691315
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1373943691496
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1373943703642
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1373943709681
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1373943717411
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1373943737140
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1373943743340
started,bundle,org.eclipse.wst.jsdt.web.support.jsp,1.0.303.v201012160047,"org.eclipse.wst.jsdt.web.support.jsp",1373943743728
opened,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1373943744258
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1373943744429
error,log,,,"Validator JSP Syntax Validator finished validating: file:/C:/jsp_workspace/BodyDemo/WebContent/Session1.jsp",1373943744916
error,log,,,"",1373943745013
error,log,,,"JPSIndexManger: problem indexing:/BodyDemo/WebContent/Session1.jsp",1373943745287
error,log,,,"null",1373943745988
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1373943750067
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1373943780065
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1373943782057
error,log,,,"Unhandled event loop exception",1373943782387
error,log,,,"null",1373943782647
error,log,,,"Unexpected runtime error while computing a text hover",1373943783067
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1373943787219
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1373943799844
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1373943802364
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1373943805544
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1373943813526
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1373943815825
opened,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1373943816045
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1373943816183
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1373943817889
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1373943828968
